instance_id,mechanism,scale,mechanism_parameter,algorithm,algorithm_id,status,reference_class,reference_burden,observed_burden,observed_burden_ratio,theoretical_ratio_if_applicable,evidence_class,record_path,record_sha256
V2-C-M01-S01,unbounded_heaviest_safe_first_gap,small,k=4;epsilon=1//2,Weighted greedy,weighted_greedy,SOLVED,EXACT_FINITE,3//2,3//2,1//1,NOT_APPLICABLE,synthetic exact-feasibility computation,experiments/algorithmic_compression_v2/results/raw_runs/V2-C-M01-S01/weighted_greedy__mandatory_only.toml,e182cd1d3f323396d6990b5b3385d205966e1783fda530b917463662aeb254f8
V2-C-M01-S01,unbounded_heaviest_safe_first_gap,small,k=4;epsilon=1//2,Cardinality greedy,cardinality_greedy,SOLVED,EXACT_FINITE,3//2,3//2,1//1,NOT_APPLICABLE,synthetic exact-feasibility computation,experiments/algorithmic_compression_v2/results/raw_runs/V2-C-M01-S01/cardinality_greedy__mandatory_only.toml,5cc4c7aaeb7aa49b5669fb3d5a25fde93347d46227b91b02283eae9b8f4bb51f
V2-C-M01-S01,unbounded_heaviest_safe_first_gap,small,k=4;epsilon=1//2,Weighted greedy + reverse deletion,weighted_greedy_reverse_delete,SOLVED,EXACT_FINITE,3//2,3//2,1//1,NOT_APPLICABLE,synthetic exact-feasibility computation,experiments/algorithmic_compression_v2/results/raw_runs/V2-C-M01-S01/weighted_greedy_reverse_delete__mandatory_only.toml,ea91a1be26774586c5a1a9452fdb08e135eb66215ca557d8987b5f1ad8612459
V2-C-M01-S01,unbounded_heaviest_safe_first_gap,small,k=4;epsilon=1//2,Heaviest safe first,heaviest_safe_first,SOLVED,EXACT_FINITE,3//2,4//1,8//3,8//3,human proof ratio and synthetic exact-feasibility computation,experiments/algorithmic_compression_v2/results/raw_runs/V2-C-M01-S01/heaviest_safe_first__mandatory_only.toml,f5159b6ecf004524202f767025a11841df95680da24f1d353a64f10244ab716a
V2-C-M01-S01,unbounded_heaviest_safe_first_gap,small,k=4;epsilon=1//2,Lightest safe first,lightest_safe_first,SOLVED,EXACT_FINITE,3//2,3//2,1//1,NOT_APPLICABLE,synthetic exact-feasibility computation,experiments/algorithmic_compression_v2/results/raw_runs/V2-C-M01-S01/lightest_safe_first__mandatory_only.toml,869c9975c4125ae3b9cc843a9f2979a1c9677bebd0f431e73ba887a8ecddff4d
V2-C-M01-S01,unbounded_heaviest_safe_first_gap,small,k=4;epsilon=1//2,Maximum immediate release,maximum_immediate_burden_release,SOLVED,EXACT_FINITE,3//2,4//1,8//3,NOT_APPLICABLE,synthetic exact-feasibility computation,experiments/algorithmic_compression_v2/results/raw_runs/V2-C-M01-S01/maximum_immediate_burden_release__mandatory_only.toml,bb352b1875895a79f3d686f2b3744909da8b50f28610cfee28d8247718f88bce
V2-C-M01-S01,unbounded_heaviest_safe_first_gap,small,k=4;epsilon=1//2,Minimum unique-carrier exposure,minimum_unique_carrier_exposure,SOLVED,EXACT_FINITE,3//2,3//2,1//1,NOT_APPLICABLE,synthetic exact-feasibility computation,experiments/algorithmic_compression_v2/results/raw_runs/V2-C-M01-S01/minimum_unique_carrier_exposure__mandatory_only.toml,0043c2c5f636450103d8e491af497aa3795ff9ad261ea4155f4fa5e15ef21b97
V2-C-M01-S01,unbounded_heaviest_safe_first_gap,small,k=4;epsilon=1//2,Declared source order,declared_source_order,SOLVED,EXACT_FINITE,3//2,3//2,1//1,NOT_APPLICABLE,synthetic exact-feasibility computation,experiments/algorithmic_compression_v2/results/raw_runs/V2-C-M01-S01/declared_source_order__mandatory_only.toml,23d1df9ad6bcf454ed8409b7d5e44ff248c53007333c5006126d6825b007d9bc
V2-C-M01-S01,unbounded_heaviest_safe_first_gap,small,k=4;epsilon=1//2,Random-order deletion,random_order_rechecked_deletion,SOLVED,EXACT_FINITE,3//2,3//2,1//1,NOT_APPLICABLE,synthetic exact-feasibility computation,experiments/algorithmic_compression_v2/results/raw_runs/V2-C-M01-S01/random_order_rechecked_deletion__mandatory_only.toml,a38ffbaefc3f96fddb9fc33f41c5defd18bba25b982a13192233eb6b4fdd2da0
V2-C-M01-S01,unbounded_heaviest_safe_first_gap,small,k=4;epsilon=1//2,32-start random deletion,multistart_random_rechecked_deletion_32,SOLVED,EXACT_FINITE,3//2,3//2,1//1,NOT_APPLICABLE,synthetic exact-feasibility computation,experiments/algorithmic_compression_v2/results/raw_runs/V2-C-M01-S01/multistart_random_rechecked_deletion_32__mandatory_only.toml,cb3425debefbfe21fe46cc4974fede317bed62fb428011a5c86fb0819fbb18cf
V2-C-M01-S02,unbounded_heaviest_safe_first_gap,medium,k=16;epsilon=1//2,Weighted greedy,weighted_greedy,SOLVED,MIP_OPTIMAL_EXACTLY_RECHECKED,3//2,3//2,1//1,NOT_APPLICABLE,synthetic exact-feasibility computation,experiments/algorithmic_compression_v2/results/raw_runs/V2-C-M01-S02/weighted_greedy__mandatory_only.toml,599660c678945e9b6f7b263986b4d21e7655ac29b1a31b05deaf98c68ee54cc6
