"migration_id","content_type","destination","source_path","source_locator","reuse_state","disposition","label_or_artifact","notes"
"P-MAIN-001","paragraph","main.tex title","journal/aor/CONTRIBUTION_SPEC.md;journal/aor/MANUSCRIPT_ARCHITECTURE.md","Journal identity;Title strategy","MIGRATED_PARAPHRASE","KEEP IN MAIN ARTICLE","title","Retains the financial object, safe-compression problem, partial-information boundary, algorithmic content, and financial evidence"
"P-MAIN-002","paragraph","main.tex abstract","manuscript/main.tex;journal/aor/CONTRIBUTION_SPEC.md;journal/aor/CLAIM_BOUNDARY.md;THEOREM_LEDGER.md;journal/aor/reports/ALGORITHMIC_RESULTS.md;experiments/financial_resource_optimization/WEIGHT_ROBUSTNESS_RESULTS.md","abstract;Journal identity;Evidence classes;AoOR theory and algorithm evidence audit;whole reports","MIGRATED_PARAPHRASE","CONDENSE IN MAIN ARTICLE","abstract","No manually transcribed result number; official 150--250 word range checked"
"P-MAIN-003","paragraph","main.tex keywords","journal/aor/CONTRIBUTION_SPEC.md;journal/aor/reports/OR_LITERATURE_AUDIT.md","Journal identity;problem-class distinctions","MIGRATED_PARAPHRASE","KEEP IN MAIN ARTICLE","keywords","Six indexing terms within official limit"
"P-01-001","paragraph","01_introduction.tex paragraph 1","manuscript/sections/01_introduction.tex;journal/aor/CONTRIBUTION_SPEC.md","opening motivation;Journal identity","MIGRATED_PARAPHRASE","KEEP IN MAIN ARTICLE","sec:introduction","Financial retention burdens and operations-research framing"
"P-01-002","paragraph","01_introduction.tex paragraph 2","manuscript/sections/01_introduction.tex;journal/aor/CONTRIBUTION_SPEC.md","operating-versus-generative distinction;Contribution 1","MIGRATED_PARAPHRASE","KEEP IN MAIN ARTICLE","sec:introduction","Current redundancy separated from generative redundancy"
"P-01-003","paragraph","01_introduction.tex paragraph 3","manuscript/sections/01_introduction.tex;manuscript/sections/03_model.tex;journal/aor/CLAIM_BOUNDARY.md;THEOREM_LEDGER.md","productive-state discussion;model definitions;Mathematical boundaries;SC-01","MIGRATED_PARAPHRASE","KEEP IN MAIN ARTICLE","sec:introduction","Preserves library-state versus full-controlled-state distinction"
"P-01-004","paragraph","01_introduction.tex paragraph 4","manuscript/sections/01_introduction.tex;journal/aor/CONTRIBUTION_SPEC.md;THEOREM_LEDGER.md","exact compression formulation;Journal identity;SC-02 and SC-04","MIGRATED_PARAPHRASE","KEEP IN MAIN ARTICLE","sec:introduction","Exact source-relative preservation and local/global distinction"
"P-01-005","paragraph","01_introduction.tex paragraph 5","journal/aor/manuscript/04_tagged_cover_equivalence.tex;journal/aor/manuscript/05_identity_closure_complexity.tex;THEOREM_LEDGER.md;journal/aor/reports/OR_LITERATURE_AUDIT.md","theorem and proof;decision problem and Reduction audit;SC-TAG and SC-COMP;set-cover boundary","MIGRATED_PARAPHRASE","KEEP IN MAIN ARTICLE","sec:introduction","No novelty claim for set cover; identity-closure boundary explicit"
"P-01-006","paragraph","01_introduction.tex paragraph 6","journal/aor/reports/PREPROCESSING_THEORY.md;journal/aor/manuscript/07_exact_requirement_mask_algorithms.tex;journal/aor/manuscript/08_weighted_greedy_construction.tex;journal/aor/manuscript/09_certified_deletion_suite.tex;journal/aor/reports/MIP_SPECIFICATION.md","whole reports and algorithm drafts","MIGRATED_PARAPHRASE","KEEP IN MAIN ARTICLE","sec:introduction","Feasibility, solver evidence, and approximation guarantee kept distinct"
"P-01-007","paragraph","01_introduction.tex paragraph 7","experiments/algorithmic_compression_v2/DESIGN.md;experiments/algorithmic_compression_v2/ANALYSIS_PLAN.md;journal/aor/reports/ALGORITHMIC_RESULTS.md","Families A--C;registered analyses;audited results","MIGRATED_PARAPHRASE","KEEP IN MAIN ARTICLE","sec:introduction","Only locked audited v2 results; no manual result values and no population claim"
