algorithm,algorithm_id,guarantee,evidence_class,scope_and_limit,source
Enumeration,complete_enumeration,Exact optimum after complete finite search,Human proof + exact finite computation,Small finite identity-closure instances; exponential in optional strategies,THEOREM_LEDGER.md
Mask DP,requirement_mask_dp,Exact optimum; O(n 2^r) recurrence operations,Human proof + exact finite computation,"FPT in residual requirements r, not polynomial in full input size",THEOREM_LEDGER.md
HiGHS MIP,jump_highs_tagged_cover,Exactly rechecked feasible incumbent; solver-optimal status reported separately,Mixed-integer solver evidence + exact finite post-check,OPTIMAL is neither formal proof nor exhaustive enumeration,journal/aor/reports/MIP_SPECIFICATION.md
Weighted greedy,weighted_greedy,H(d) <= H(r) weighted-cover approximation,Transferred primary-source theorem,Positive active weights and identity-closure tagged-cover equivalence only,journal/aor/reports/OR_LITERATURE_AUDIT.md
Weighted greedy + reverse deletion,weighted_greedy_reverse_delete,H(d) guarantee inherited; deletion cannot increase burden,Transferred theorem + exact deletion check,Same identity-closure scope; reverse deletion adds no general-closure guarantee,THEOREM_LEDGER.md
Cardinality greedy,cardinality_greedy,No burden approximation guarantee for heterogeneous weights,Algorithmic limitation,Unweighted score is reported as a comparator,THEOREM_LEDGER.md
Heaviest safe first,heaviest_safe_first,Exact feasibility and irreducibility only; registered family proves an unbounded burden ratio,Exact finite certification + human-proof boundary,Identity closure for tagged checks; every accepted deletion independently rechecked,THEOREM_LEDGER.md
Lightest safe first,lightest_safe_first,Exact feasibility and endpoint irreducibility only; no global burden factor,Exact finite certification + human-proof boundary,Identity closure for tagged checks; every accepted deletion independently rechecked,THEOREM_LEDGER.md
Maximum immediate release,maximum_immediate_burden_release,Exact feasibility and endpoint irreducibility only; no global burden factor,Exact finite certification + human-proof boundary,Identity closure for tagged checks; every accepted deletion independently rechecked,THEOREM_LEDGER.md
Minimum unique-carrier exposure,minimum_unique_carrier_exposure,Exact feasibility and endpoint irreducibility only; no global burden factor,Exact finite certification + human-proof boundary,Identity closure for tagged checks; every accepted deletion independently rechecked,THEOREM_LEDGER.md
Declared source order,declared_source_order,Exact feasibility and endpoint irreducibility only; no global burden factor,Exact finite certification + human-proof boundary,Identity closure for tagged checks; every accepted deletion independently rechecked,THEOREM_LEDGER.md
Random-order deletion,random_order_rechecked_deletion,Exact feasibility and endpoint irreducibility only; no global burden factor,Exact finite certification + human-proof boundary,Identity closure for tagged checks; every accepted deletion independently rechecked,THEOREM_LEDGER.md
32-start random deletion,multistart_random_rechecked_deletion_32,Best of 32 certified irreducible endpoints; no approximation factor,Synthetic algorithmic evidence + exact finite certification,Registered seeds and fixed 32 starts; not adaptive,THEOREM_LEDGER.md
