outcome_id,unit,stage,role,direction
exact_burden,registered work units,compression,primary structural,lower is better conditional on feasibility
closure_option_coverage,share of enumerated portfolio innovations,proposal,primary mechanism,higher is better
incremental_portfolio_certainty_equivalent,annual certainty-equivalent return,evaluation,primary economic,positive favors innovation-safe policy
decision_change_rate,share of origins,proposal,secondary mechanism,descriptive
proposal_to_evaluation_calibration,Pearson and rank correlation,evaluation,secondary diagnostic,higher positive association is better
realized_policy_regret,annual certainty-equivalent return,evaluation,secondary diagnostic,lower is better
turnover_cost_component,annual return,evaluation,secondary decomposition,lower cost is better
variance_penalty_component,annual return,evaluation,secondary decomposition,lower penalty is better
algorithm_optimality_gap,registered work units,compression,primary algorithmic,lower is better
algorithm_wall_time,seconds,compression,primary algorithmic,lower is better conditional on completion
